match_id,phase,group,date,team1,team2,venue,city
26,Group,B,2026-06-18,Switzerland,Bosnia_Herzegovina,SoFi Stadium,Inglewood
27,Group,B,2026-06-18,Canada,Qatar,BC Place,Vancouver
28,Group,A,2026-06-18,Mexico,South_Korea,Estadio Akron,Zapopan
29,Group,D,2026-06-19,United_States,Australia,Lumen Field,Seattle
30,Group,C,2026-06-19,Scotland,Morocco,Gillette Stadium,Foxborough
31,Group,C,2026-06-19,Brazil,Haiti,Lincoln Financial Field,Philadelphia
32,Group,D,2026-06-19,Turkey,Paraguay,Levi's Stadium,Santa Clara
33,Group,F,2026-06-20,Netherlands,Sweden,NRG Stadium,Houston
34,Group,E,2026-06-20,Germany,Ivory_Coast,BMO Field,Toronto
35,Group,E,2026-06-20,Ecuador,Curacao,Arrowhead Stadium,Kansas City
36,Group,F,2026-06-20,Tunisia,Japan,Estadio BBVA,Guadalupe
37,Group,H,2026-06-21,Spain,Saudi_Arabia,Mercedes-Benz Stadium,Atlanta
38,Group,G,2026-06-21,Belgium,Iran,SoFi Stadium,Inglewood
39,Group,H,2026-06-21,Uruguay,Cape_Verde,Hard Rock Stadium,Miami Gardens
40,Group,G,2026-06-21,New_Zealand,Egypt,BC Place,Vancouver
41,Group,J,2026-06-22,Argentina,Austria,AT&T Stadium,Arlington
42,Group,I,2026-06-22,France,Iraq,Lincoln Financial Field,Philadelphia
43,Group,I,2026-06-22,Norway,Senegal,MetLife Stadium,East Rutherford
44,Group,J,2026-06-22,Jordan,Algeria,Levi's Stadium,Santa Clara
45,Group,K,2026-06-23,Portugal,Uzbekistan,NRG Stadium,Houston
46,Group,L,2026-06-23,England,Ghana,Gillette Stadium,Foxborough
47,Group,L,2026-06-23,Panama,Croatia,BMO Field,Toronto
48,Group,K,2026-06-23,Colombia,DR_Congo,Estadio Akron,Zapopan
49,Group,B,2026-06-24,Switzerland,Canada,BC Place,Vancouver
50,Group,B,2026-06-24,Bosnia_Herzegovina,Qatar,Lumen Field,Seattle
51,Group,C,2026-06-24,Scotland,Brazil,Hard Rock Stadium,Miami Gardens
52,Group,C,2026-06-24,Morocco,Haiti,Mercedes-Benz Stadium,Atlanta
53,Group,A,2026-06-24,Czech_Republic,Mexico,Estadio Azteca,Mexico City
54,Group,A,2026-06-24,South_Africa,South_Korea,Estadio BBVA,Guadalupe
55,Group,E,2026-06-25,Ecuador,Germany,MetLife Stadium,East Rutherford
56,Group,E,2026-06-25,Curacao,Ivory_Coast,Lincoln Financial Field,Philadelphia
57,Group,F,2026-06-25,Japan,Sweden,AT&T Stadium,Arlington
58,Group,F,2026-06-25,Tunisia,Netherlands,Arrowhead Stadium,Kansas City
59,Group,D,2026-06-25,Turkey,United_States,SoFi Stadium,Inglewood
60,Group,D,2026-06-25,Paraguay,Australia,Levi's Stadium,Santa Clara
61,Group,I,2026-06-26,Norway,France,Gillette Stadium,Foxborough
62,Group,I,2026-06-26,Senegal,Iraq,BMO Field,Toronto
63,Group,H,2026-06-26,Cape_Verde,Saudi_Arabia,NRG Stadium,Houston
64,Group,H,2026-06-26,Uruguay,Spain,Estadio Akron,Zapopan
65,Group,G,2026-06-26,Egypt,Iran,Lumen Field,Seattle
66,Group,G,2026-06-26,New_Zealand,Belgium,BC Place,Vancouver
67,Group,L,2026-06-27,Panama,England,MetLife Stadium,East Rutherford
68,Group,L,2026-06-27,Croatia,Ghana,Lincoln Financial Field,Philadelphia
69,Group,K,2026-06-27,Colombia,Portugal,Hard Rock Stadium,Miami Gardens
70,Group,K,2026-06-27,DR_Congo,Uzbekistan,Mercedes-Benz Stadium,Atlanta
71,Group,J,2026-06-27,Algeria,Austria,Arrowhead Stadium,Kansas City
72,Group,J,2026-06-27,Jordan,Argentina,AT&T Stadium,Arlington
